Theme,Alias
Colors,Red
Colors,Blue
Colors,Green
Colors,Yellow
Colors,Orange
Colors,Purple
Colors,Pink
Colors,Brown
Colors,Black
Colors,White
Colors,Gray
Colors,Cyan
Colors,Magenta
Colors,Beige
Colors,Maroon
Colors,Teal
Colors,Turquoise
Colors,Lavender
Colors,Violet
Colors,Indigo
Colors,Gold
Colors,Silver
Colors,Bronze
Colors,Ivory
Colors,Charcoal
Colors,Crimson
Colors,Amber
Colors,Ruby
Colors,Emerald
Colors,Sapphire
Colors,Rose
Colors,Coral
Colors,Peach
Colors,Mint
Colors,Lilac
Colors,Plum
Colors,Chocolate
Colors,Olive
Colors,Mustard
Colors,Periwinkle
Colors,Aquamarine
Colors,Fuchsia
Colors,Azure
Colors,Mauve
Colors,Blush
Colors,Slate
Colors,Tan
Colors,Rust
Colors,Ochre
Colors,Burgundy
Colors,Amber
