Theme,Alias
Foods,Pizza
Foods,Burger
Foods,Pasta
Foods,Sushi
Foods,Tacos
Foods,Steak
Foods,Salad
Foods,Soup
Foods,Sandwich
Foods,Fries
Foods,Nachos
Foods,Curry
Foods,Rice
Foods,Noodles
Foods,Bread
Foods,Bagel
Foods,Doughnut
Foods,Pancake
Foods,Waffle
Foods,Ice Cream
Foods,Cake
Foods,Pie
Foods,Brownie
Foods,Cookie
Foods,Muffin
Foods,Cupcake
Foods,Candy
Foods,Chocolate
Foods,Cheese
Foods,Yogurt
Foods,Milk
Foods,Eggs
Foods,Bacon
Foods,Sausage
Foods,Ham
Foods,Turkey
Foods,Chicken
Foods,Beef
Foods,Pork
Foods,Lamb
Foods,Fish
Foods,Shrimp
Foods,Crab
Foods,Lobster
Foods,Clam
Foods,Oyster
Foods,Scallop
Foods,Tofu
Foods,Tempeh
Foods,Quinoa
Foods,Lentils
Foods,Chickpeas
