Theme,Alias
Mythical_Creatures,Dragon
Mythical_Creatures,Phoenix
Mythical_Creatures,Unicorn
Mythical_Creatures,Pegasus
Mythical_Creatures,Griffin
Mythical_Creatures,Hydra
Mythical_Creatures,Sphinx
Mythical_Creatures,Minotaur
Mythical_Creatures,Cerberus
Mythical_Creatures,Chimera
Mythical_Creatures,Kraken
Mythical_Creatures,Basilisk
Mythical_Creatures,Fairy
Mythical_Creatures,Mermaid
Mythical_Creatures,Siren
Mythical_Creatures,Werewolf
Mythical_Creatures,Vampire
Mythical_Creatures,Yeti
Mythical_Creatures,Bigfoot
Mythical_Creatures,Leprechaun
Mythical_Creatures,Elf
Mythical_Creatures,Gnome
Mythical_Creatures,Dwarf
Mythical_Creatures,Troll
Mythical_Creatures,Ogre
Mythical_Creatures,Banshee
Mythical_Creatures,Kelpie
Mythical_Creatures,Selkie
Mythical_Creatures,Djinn
Mythical_Creatures,Nymph
Mythical_Creatures,Dryad
Mythical_Creatures,Satyr
Mythical_Creatures,Centaur
Mythical_Creatures,Hippogriff
Mythical_Creatures,Cockatrice
Mythical_Creatures,Wendigo
Mythical_Creatures,Zombie
Mythical_Creatures,Ghoul
Mythical_Creatures,Specter
Mythical_Creatures,Poltergeist
Mythical_Creatures,Lich
Mythical_Creatures,Wraith
Mythical_Creatures,Manticore
Mythical_Creatures,Gargoyle
Mythical_Creatures,Harpy
Mythical_Creatures,Cyclops
Mythical_Creatures,Naga
Mythical_Creatures,Ifrit
Mythical_Creatures,Jorogumo
Mythical_Creatures,Qilin
Mythical_Creatures,Tengu
