Theme,Alias
Weapons,Sword
Weapons,Dagger
Weapons,Spear
Weapons,Bow
Weapons,Arrow
Weapons,Crossbow
Weapons,Axe
Weapons,Mace
Weapons,Halberd
Weapons,Flail
Weapons,Morning Star
Weapons,Club
Weapons,Shield
Weapons,Pike
Weapons,Scimitar
Weapons,Katana
Weapons,Nunchaku
Weapons,Sai
Weapons,Bo Staff
Weapons,Trident
Weapons,Whip
Weapons,Blowgun
Weapons,Throwing Knife
Weapons,Shuriken
Weapons,Tomahawk
Weapons,Slingshot
Weapons,Grenade
Weapons,Pistol
Weapons,Rifle
Weapons,Shotgun
Weapons,Sniper Rifle
Weapons,Machine Gun
Weapons,Bazooka
Weapons,Rocket Launcher
Weapons,Flamethrower
Weapons,Taser
Weapons,Pepper Spray
Weapons,Brass Knuckles
Weapons,Bayonet
Weapons,Cannon
Weapons,Howitzer
Weapons,Mortar
Weapons,Battering Ram
Weapons,Ballista
Weapons,Trebuchet
Weapons,Catapult
Weapons,Chakram
Weapons,Lasso
Weapons,Net
Weapons,Warhammer
Weapons,Scythe
Weapons,Kunai
